"店舗コード","店名","ジャンル"
"13093047","六厘舎","つけ麺、ラーメン"
"13044091","風雲児（ふううんじ）","ラーメン、つけ麺"
"13111737","麺屋一燈（いっとう）","ラーメン、つけ麺"
"13045287","麺屋海神（めんやかいじん）","ラーメン、居酒屋、丼もの（その他）"
"13005500","AFURI 恵比寿（阿夫利 あふり）","ラーメン、つけ麺"
"13001705","喜楽（きらく）","ラーメン、餃子、中華料理"
"13046637","麺屋ひょっとこ 交通会館店","ラーメン"
"13054766","すごい煮干ラーメン凪 新宿ゴールデン街店本館（【旧店名】ラーメン凪 煮干王）","ラーメン"
"13164932","むぎとオリーブ 銀座店","ラーメン、つけ麺"
"13005052","こうかいぼう","ラーメン、つけ麺"
"13216496","らぁ麺 はやし田 新宿本店","ラーメン、つけ麺、汁なし担々麺"
"13042564","四川担担麺 阿吽 湯島本店","担々麺、汁なし担々麺"
"13003927","無敵家（むてきや）","ラーメン、つけ麺、油そば"
"13178309","麺尊 RAGE","ラーメン、つけ麺、油そば"
"13208237","真鯛らーめん 麺魚 本店","ラーメン、つけ麺、油そば"
"13004111","神田ラーメン わいず","ラーメン、台湾まぜそば"
"13003877","瞠 池袋店（miharu）","油そば、つけ麺、ラーメン"
"13129770","東京アンダーグラウンドラーメン 頑者（TOKYO UNDERGROUND RAMEN 頑者）","つけ麺、ラーメン、汁なし担々麺"
"13130803","肉煮干し中華そば さいころ 中野本店","ラーメン、つけ麺、油そば"
"13141542","煮干中華そば鈴蘭（すずらん）","つけ麺、ラーメン、油そば"
"13093047","六厘舎","つけ麺、ラーメン"
"13044091","風雲児（ふううんじ）","ラーメン、つけ麺"
"13111737","麺屋一燈（いっとう）","ラーメン、つけ麺"
"13005500","AFURI 恵比寿（阿夫利 あふり）","ラーメン、つけ麺"
"13120708","つけ麺 五ノ神製作所 新宿店","つけ麺"
"13164932","むぎとオリーブ 銀座店","ラーメン、つけ麺"
"13005052","こうかいぼう","ラーメン、つけ麺"
"13091258","煮干鰮らーめん 圓（エン）","ラーメン、つけ麺"
"13001013","創始 麺屋武蔵（そうし めんやむさし）","ラーメン、つけ麺"
"13118141","銀座 朧月（おぼろづき）","つけ麺、ラーメン"
